policy,area_pos,area_neg,area_band,area_total_valid,frac_pos,frac_neg,frac_band
delegating,5.695049239268285,1.2655664976151746,0.0,6.960615736883461,0.8181818181818181,0.1818181818181818,0.0
empower,6.960615736883461,0.0,0.0,6.960615736883461,1.0,0.0,0.0
feedback,6.960615736883461,0.0,0.0,6.960615736883461,1.0,0.0,0.0
